OldContractNumber,OldFileName,OldFolderName,SiteName,docCreator,CostCompMethod,CostContractScope
CONT-10-1942,חוזה מתכנן אלומיניום.docx,בית מפאי,"בית מפא""י",kooksec,מחיר קבוע/פאושלי,
CONT-10-1969,חוזה מתכנן אלומיניום.docx,נרקיסים,נרקיסים,germank,מחיר קבוע/פאושלי,155120
CONT-10-2147,חוזה מתכנן אלומיניום.docx,נתניה - מגרש 1409,,dekelr,מחיר קבוע/פאושלי,76482
CONT-10-2193,חוזה מתכנן אלומיניום.docx,גבעת הכלניות - קרית אתא,גבעת הכלניות,avic,מחיר קבוע/פאושלי,
CONT-10-2194,חוזה מתכנן אלומיניום.docx,נשר,,avic,מחיר קבוע/פאושלי,
CONT-10-2317,חוזה מתכנן אלומיניום.docx,רוטשילד חיפה,,kooksec,,
CONT-10-2359,חוזה מתכנן אלומיניום.docx,רמת שרת שלב ב,רמת שרת שלב ב,kooksec,מחיר קבוע/פאושלי,
CONT-10-2436,חוזה מתכנן אלומיניום.docx,הכוזרי - הרצליה,הכוזרי הרצליה,meryle,מחיר קבוע/פאושלי,80000
CONT-10-2472,חוזה מתכנן אלומיניום.docx,דרך השלום - תא,,kooksec,מחיר קבוע/פאושלי,
CONT-10-2371,חוזה מתכנן חשמל ותקשור1.docx,אופיס - אזור,אופיס אזור,kooksec,מחיר קבוע/פאושלי,175000
CONT-10-1968,חוזה מתכנן חשמל ותקשורת -29.10.2020 - ID1v1.DOCX,נשר,נשר,avic,,
CONT-10-1884,חוזה מתכנן חשמל ותקשורת.docx,נס ציונה מחיר למשתכן,נס ציונה מחיר למשתכן,kooksec,מחיר קבוע/פאושלי,185600
CONT-10-1938,חוזה מתכנן חשמל ותקשורת.docx,נשר,נשר,avic,,
CONT-10-1943,חוזה מתכנן חשמל ותקשורת.docx,סביוני רעננה צפון,הקמת 150 יח''ד ומסחר ,germank,מחיר קבוע/פאושלי,234000
CONT-10-1983,חוזה מתכנן חשמל ותקשורת.docx,מורדות ארנונה,מורדות ארנונה,,,
CONT-10-2083,חוזה מתכנן חשמל ותקשורת.docx,גבעת הכלניות - קרית אתא,,avic,מחיר קבוע/פאושלי,
CONT-10-2138,חוזה מתכנן חשמל ותקשורת.docx,נתניה - מגרש 1409,,dekelr,מחיר קבוע/פאושלי,81900
CONT-10-2162,חוזה מתכנן חשמל ותקשורת.docx,רמת שרת שלב ב,רמת שרת שלב ב,,,
CONT-10-2314,חוזה מתכנן חשמל ותקשורת.docx,רוטשילד חיפה,,kooksec,,
CONT-10-2360,חוזה מתכנן חשמל ותקשורת.docx,הכוזרי - הרצליה,הכוזרי הרצליה,meryle,מחיר קבוע/פאושלי,280900
CONT-10-1864,חוזה מתכנן מיגון ומקלוט.docx,סומייל,,Rinath,,
CONT-10-1866,חוזה מתכנן מיגון ומקלוט.docx,סמל צפון מגרש 123,,Rinath,,
CONT-10-1911,חוזה מתכנן מיגון ומקלוט.docx,סביוני רעננה צפון,150 יח''ד ומסחר,germank,מחיר קבוע/פאושלי,33900
CONT-10-2149,חוזה מתכנן מיגון ומקלוט.docx,נתניה - מגרש 1409,,dekelr,מחיר קבוע/פאושלי,12600
CONT-10-2176,חוזה מתכנן מיגון ומקלוט.docx,נשר,נשר,avic,מחיר קבוע/פאושלי,
CONT-10-2188,חוזה מתכנן מיגון ומקלוט.docx,מורדות ארנונה,מורדות ארנונה,kooksec,מחיר קבוע/פאושלי,
CONT-10-2298,חוזה מתכנן מיגון ומקלוט.docx,רמת שרת שלב ב,סביוני רמת שרת,,,
CONT-10-2322,חוזה מתכנן מיגון ומקלוט.docx,רוטשילד חיפה,,kooksec,,
CONT-10-2361,חוזה מתכנן מיגון ומקלוט.docx,הכוזרי - הרצליה,הכוזרי הרצליה,meryle,מחיר קבוע/פאושלי,25500
CONT-10-2469,חוזה מתכנן מיגון ומקלוט.docx,דרך השלום - תא,,kooksec,,
CONT-10-2384,חוזה מתכנן מיזוג אוויר - ניסיון.docx,רוטשילד חיפה,,ella.b,,
CONT-10-1399,חוזה מתכנן מיזוג אוויר.docx,אנדריוס,אנדריוס,avic,מחיר קבוע/פאושלי,563000
CONT-10-1915,חוזה מתכנן מיזוג אוויר.docx,נס ציונה מחיר למשתכן,נס ציונה מחיר למשתכן,kooksec,מחיר קבוע/פאושלי,99621
CONT-10-1931,חוזה מתכנן מיזוג אוויר.docx,פרויקט ניסיון,,einave,,
CONT-10-1934,חוזה מתכנן מיזוג אוויר.docx,סביוני רעננה צפון,סביוני רעננה צפון,germank,מחיר קבוע/פאושלי,198000
CONT-10-2137,חוזה מתכנן מיזוג אוויר.docx,נתניה - מגרש 1409,,dekelr,מחיר קבוע/פאושלי,89964
CONT-10-2235,חוזה מתכנן מיזוג אוויר.docx,רמת שרת שלב ב,רמת שרת שלב ב,kooksec,מחיר קבוע/פאושלי,
CONT-10-2236,חוזה מתכנן מיזוג אוויר.docx,מורדות ארנונה,מורדות ארנונה,kooksec,מחיר קבוע/פאושלי,425298
CONT-10-2311,חוזה מתכנן מיזוג אוויר.docx,רוטשילד חיפה,,kooksec,,
CONT-10-2476,חוזה מתכנן מעליו1.docx,דרך השלום - תא,,kooksec,מחיר קבוע/פאושלי,
CONT-10-1918,חוזה מתכנן מעליות.docx,נס ציונה מחיר למשתכן,נס ציונה מחיר למשתכן,kooksec,מחיר קבוע/פאושלי,9000
CONT-10-2029,חוזה מתכנן מעליות.docx,סביוני רעננה צפון,סביוני רעננה צפון,germank,מחיר קבוע/פאושלי,33000
CONT-10-2045,חוזה מתכנן מעליות.docx,מורדות ארנונה,מורדות ארנונה,,,
